lnc_id	mrna_id	r	p_value	FDR	cluster_label	component_id
rna-XR_002636929.1	LOC111111320	0.9904433328454928	3.6495070366791197e-22	1.1836021810778055e-16	E	11
rna-XR_002636929.1	LOC111105683	0.9902740410452224	4.501642826671077e-22	1.4107531539658106e-16	E	11
