mrna_id	n_lncRNAs	GeneID	Symbol	description	type_of_gene	match_type
LOC111103915	29	111103915	LOC111103915	uncharacterized LOC111103915	protein-coding	Symbol
LOC111104292	29	NA	NA	NA	NA	NA
LOC111106049	29	NA	NA	NA	NA	NA
LOC111107608	29	111107608	LOC111107608	universal stress protein in QAH/OAS sulfhydrylase 3'region-like	protein-coding	Symbol
LOC111108569	29	111108569	LOC111108569	uncharacterized LOC111108569	protein-coding	Symbol
LOC111114174	29	111114174	LOC111114174	epidermal retinol dehydrogenase 2-like	protein-coding	Symbol
LOC111115597	29	111115597	LOC111115597	uncharacterized LOC111115597	protein-coding	Symbol
LOC111116309	29	111116309	LOC111116309	uncharacterized LOC111116309	pseudo	Symbol
LOC111119310	29	111119310	LOC111119310	acyl-coenzyme A thioesterase 13-like	protein-coding	Symbol
LOC111119535	29	111119535	LOC111119535	uncharacterized LOC111119535	protein-coding	Symbol
LOC111119653	29	111119653	LOC111119653	uncharacterized LOC111119653	protein-coding	Symbol
LOC111120074	29	NA	NA	NA	NA	NA
LOC111120114	29	NA	NA	NA	NA	NA
LOC111121146	29	111121146	LOC111121146	phosphoribosyl pyrophosphate synthase-associated protein 2-like	protein-coding	Symbol
LOC111121371	29	NA	NA	NA	NA	NA
LOC111123210	29	111123210	LOC111123210	arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1-like	protein-coding	Symbol
LOC111123260	29	111123260	LOC111123260	nuclear pore complex protein Nup160-like	protein-coding	Symbol
LOC111124527	29	111124527	LOC111124527	crystallin J1A-like	protein-coding	Symbol
LOC111125080	29	111125080	LOC111125080	ras-related protein Rab-30-like	protein-coding	Symbol
LOC111125372	29	111125372	LOC111125372	uncharacterized LOC111125372	protein-coding	Symbol
LOC111125444	29	NA	NA	NA	NA	NA
LOC111125623	29	111125623	LOC111125623	uncharacterized LOC111125623	protein-coding	Symbol
LOC111125976	29	111125976	LOC111125976	deoxyribonuclease-2-alpha-like	protein-coding	Symbol
LOC111127916	29	111127916	LOC111127916	uncharacterized LOC111127916	protein-coding	Symbol
LOC111127928	29	111127928	LOC111127928	AP-2 complex subunit sigma	protein-coding	Symbol
LOC111128315	29	111128315	LOC111128315	dual oxidase 2-like	protein-coding	Symbol
LOC111128420	29	111128420	LOC111128420	nidogen-1-like	protein-coding	Symbol
LOC111129291	29	111129291	LOC111129291	uncharacterized LOC111129291	protein-coding	Symbol
LOC111129934	29	111129934	LOC111129934	malate dehydrogenase, cytoplasmic-like	protein-coding	Symbol
LOC111129999	29	111129999	LOC111129999	fasciculation and elongation protein zeta-2-like	protein-coding	Symbol
LOC111130054	29	111130054	LOC111130054	uncharacterized LOC111130054	protein-coding	Symbol
LOC111130501	29	111130501	LOC111130501	gamma-interferon-inducible lysosomal thiol reductase-like	protein-coding	Symbol
LOC111130580	29	111130580	LOC111130580	DNA repair protein REV1-like	protein-coding	Symbol
LOC111130613	29	NA	NA	NA	NA	NA
LOC111131333	29	111131333	LOC111131333	large ribosomal subunit protein mL49-like	protein-coding	Symbol
LOC111132144	29	111132144	LOC111132144	uncharacterized LOC111132144	protein-coding	Symbol
LOC111132820	29	111132820	LOC111132820	mitochondrial inner membrane protein OXA1L-like	protein-coding	Symbol
LOC111133197	29	111133197	LOC111133197	uncharacterized LOC111133197	pseudo	Symbol
LOC111133594	29	NA	NA	NA	NA	NA
LOC111133781	29	111133781	LOC111133781	uncharacterized LOC111133781	protein-coding	Symbol
