mrna_id	mrna_id_clean	GeneID	Symbol	description	type_of_gene	match_type
LOC111118900	LOC111118900	NA	NA	NA	NA	NA
LOC111118901	LOC111118901	111118901	LOC111118901	uncharacterized LOC111118901	protein-coding	Symbol
LOC111118902	LOC111118902	111118902	LOC111118902	carbohydrate sulfotransferase 15-like	pseudo	Symbol
LOC111118903	LOC111118903	NA	NA	NA	NA	NA
LOC111118904	LOC111118904	111118904	LOC111118904	uncharacterized LOC111118904	protein-coding	Symbol
LOC111118905	LOC111118905	111118905	LOC111118905	mismatch repair endonuclease PMS2-like	protein-coding	Symbol
LOC111118906	LOC111118906	111118906	LOC111118906	serine/threonine-protein phosphatase alpha-2 isoform-like	protein-coding	Symbol
LOC111118907	LOC111118907	NA	NA	NA	NA	NA
LOC111118908	LOC111118908	NA	NA	NA	NA	NA
LOC111118909	LOC111118909	111118909	LOC111118909	E3 ubiquitin-protein ligase SMURF2-like	protein-coding	Symbol
LOC111118910	LOC111118910	111118910	LOC111118910	uncharacterized LOC111118910	protein-coding	Symbol
LOC111118911	LOC111118911	111118911	LOC111118911	sorting nexin-8-like	protein-coding	Symbol
LOC111118912	LOC111118912	111118912	LOC111118912	protein bicaudal C homolog 1-like	protein-coding	Symbol
LOC111118913	LOC111118913	NA	NA	NA	NA	NA
LOC111118914	LOC111118914	111118914	LOC111118914	uncharacterized LOC111118914	protein-coding	Symbol
LOC111118915	LOC111118915	111118915	LOC111118915	mitotic spindle assembly checkpoint protein MAD1-like	protein-coding	Symbol
LOC111118916	LOC111118916	111118916	LOC111118916	uncharacterized LOC111118916	protein-coding	Symbol
LOC111118917	LOC111118917	NA	NA	NA	NA	NA
LOC111118918	LOC111118918	111118918	LOC111118918	putative helicase with zinc finger domain	protein-coding	Symbol
LOC111118919	LOC111118919	NA	NA	NA	NA	NA
LOC111118920	LOC111118920	111118920	LOC111118920	structural maintenance of chromosomes protein 6-like	protein-coding	Symbol
LOC111118921	LOC111118921	111118921	LOC111118921	uncharacterized LOC111118921	protein-coding	Symbol
LOC111118922	LOC111118922	111118922	LOC111118922	uncharacterized LOC111118922	protein-coding	Symbol
LOC111118923	LOC111118923	111118923	LOC111118923	uncharacterized LOC111118923	protein-coding	Symbol
LOC111118924	LOC111118924	111118924	LOC111118924	fatty acid synthase-like	protein-coding	Symbol
LOC111118925	LOC111118925	111118925	LOC111118925	unconventional myosin-Vc-like	protein-coding	Symbol
LOC111118926	LOC111118926	111118926	LOC111118926	uncharacterized LOC111118926	protein-coding	Symbol
LOC111118927	LOC111118927	111118927	LOC111118927	uncharacterized LOC111118927	protein-coding	Symbol
LOC111118928	LOC111118928	111118928	LOC111118928	uncharacterized LOC111118928	protein-coding	Symbol
LOC111118929	LOC111118929	NA	NA	NA	NA	NA
LOC111118930	LOC111118930	NA	NA	NA	NA	NA
LOC111118931	LOC111118931	111118931	LOC111118931	uncharacterized LOC111118931	protein-coding	Symbol
LOC111118932	LOC111118932	111118932	LOC111118932	FRAS1-related extracellular matrix protein 1-like	protein-coding	Symbol
LOC111118933	LOC111118933	111118933	LOC111118933	uncharacterized LOC111118933	protein-coding	Symbol
LOC111118934	LOC111118934	111118934	LOC111118934	octopine dehydrogenase-like	protein-coding	Symbol
LOC111118935	LOC111118935	NA	NA	NA	NA	NA
LOC111118936	LOC111118936	111118936	LOC111118936	putative transcription factor SOX-15	protein-coding	Symbol
LOC111118937	LOC111118937	111118937	LOC111118937	uncharacterized LOC111118937	protein-coding	Symbol
LOC111118938	LOC111118938	NA	NA	NA	NA	NA
LOC111118939	LOC111118939	111118939	LOC111118939	uncharacterized LOC111118939	protein-coding	Symbol
LOC111118941	LOC111118941	111118941	LOC111118941	protocadherin gamma-B2-like	protein-coding	Symbol
LOC111118942	LOC111118942	NA	NA	NA	NA	NA
LOC111118943	LOC111118943	111118943	LOC111118943	uncharacterized LOC111118943	protein-coding	Symbol
LOC111118944	LOC111118944	111118944	LOC111118944	uncharacterized LOC111118944	protein-coding	Symbol
LOC111118945	LOC111118945	111118945	LOC111118945	RB1-inducible coiled-coil protein 1-like	protein-coding	Symbol
LOC111118946	LOC111118946	111118946	LOC111118946	fringe glycosyltransferase-like	protein-coding	Symbol
LOC111118948	LOC111118948	111118948	LOC111118948	uncharacterized LOC111118948	protein-coding	Symbol
LOC111118949	LOC111118949	111118949	LOC111118949	uncharacterized LOC111118949	protein-coding	Symbol
LOC111118950	LOC111118950	111118950	LOC111118950	neuronal acetylcholine receptor subunit eat-2-like	protein-coding	Symbol
LOC111118951	LOC111118951	111118951	LOC111118951	serine protease inhibitor Cvsi-2-like	protein-coding	Symbol
LOC111118952	LOC111118952	NA	NA	NA	NA	NA
LOC111118953	LOC111118953	111118953	LOC111118953	acetylcholine receptor subunit beta-like	protein-coding	Symbol
LOC111118955	LOC111118955	111118955	LOC111118955	acyl-CoA desaturase-like	protein-coding	Symbol
LOC111118956	LOC111118956	111118956	LOC111118956	acyl-CoA desaturase-like	protein-coding	Symbol
LOC111118957	LOC111118957	111118957	LOC111118957	mitotic spindle assembly checkpoint protein MAD2A-like	protein-coding	Symbol
LOC111118959	LOC111118959	111118959	LOC111118959	nuclear factor 1 A-type-like	protein-coding	Symbol
LOC111118962	LOC111118962	111118962	LOC111118962	small ribosomal subunit protein uS3m-like	protein-coding	Symbol
LOC111118963	LOC111118963	111118963	LOC111118963	aspartate--tRNA ligase, cytoplasmic-like	protein-coding	Symbol
LOC111118964	LOC111118964	111118964	LOC111118964	uncharacterized LOC111118964	protein-coding	Symbol
LOC111118965	LOC111118965	111118965	LOC111118965	tRNA 2-selenouridine synthase-like	protein-coding	Symbol
LOC111118966	LOC111118966	111118966	LOC111118966	ERI1 exoribonuclease 3-like	protein-coding	Symbol
LOC111118967	LOC111118967	NA	NA	NA	NA	NA
LOC111118968	LOC111118968	NA	NA	NA	NA	NA
LOC111118969	LOC111118969	NA	NA	NA	NA	NA
LOC111118970	LOC111118970	111118970	LOC111118970	coiled-coil domain-containing protein 78-like	protein-coding	Symbol
LOC111118971	LOC111118971	111118971	LOC111118971	AP-1 complex subunit mu-1	protein-coding	Symbol
LOC111118972	LOC111118972	111118972	LOC111118972	uncharacterized LOC111118972	protein-coding	Symbol
LOC111118973	LOC111118973	111118973	LOC111118973	uncharacterized LOC111118973	protein-coding	Symbol
LOC111118975	LOC111118975	111118975	LOC111118975	uncharacterized LOC111118975	protein-coding	Symbol
LOC111118976	LOC111118976	111118976	LOC111118976	uncharacterized LOC111118976	protein-coding	Symbol
LOC111118977	LOC111118977	111118977	LOC111118977	zinc finger ZZ-type and EF-hand domain-containing protein 1-like	protein-coding	Symbol
LOC111118978	LOC111118978	NA	NA	NA	NA	NA
LOC111118979	LOC111118979	NA	NA	NA	NA	NA
LOC111118980	LOC111118980	111118980	LOC111118980	uncharacterized LOC111118980	protein-coding	Symbol
LOC111118981	LOC111118981	111118981	LOC111118981	inositol monophosphatase 3-like	protein-coding	Symbol
LOC111118982	LOC111118982	111118982	LOC111118982	uncharacterized LOC111118982	protein-coding	Symbol
LOC111118983	LOC111118983	NA	NA	NA	NA	NA
LOC111118984	LOC111118984	NA	NA	NA	NA	NA
LOC111118985	LOC111118985	111118985	LOC111118985	chloride channel CLIC-like protein 1	protein-coding	Symbol
LOC111118986	LOC111118986	NA	NA	NA	NA	NA
