ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	lnc_id
GO:0003723	RNA binding	177/2957	309/8638	2.785724961907459e-17	4.37358819019471e-15	3.802270211164918e-15	111134658/111122102/111118013/111122502/111118274/111118710/111132033/111129853/111131771/111134422/111102762/111105526/111135550/111138363/111128988/111136764/111135964/111118083/111136413/111108729/111119781/111130886/111103914/111119664/111118216/111125750/111126333/111134561/111105429/111136085/111133985/111120566/111121238/111134942/111122996/111134501/111122210/111107488/111135802/111103325/111108450/111120664/111122308/111121165/111124589/111136320/111126771/111118539/111136820/111119195/111120299/111120863/111137477/111118049/111123818/111135640/111117964/111125723/111125533/111115153/111135061/111120897/111107879/111112550/111137770/111134707/111129496/111108358/111134200/111120515/111105199/111138235/111108747/111125036/111131784/111116966/111118510/111122389/111136666/111111061/111100584/111119203/111136911/111135391/111101447/111136563/111136886/111135353/111100616/111136823/111099104/111135345/111120828/111130413/111108479/111124525/111135374/111120696/111125367/111136247/111136624/111128022/111125548/111137591/111118362/111137679/111120619/111134482/111137089/111121601/111120994/111132297/111119023/111119055/111135736/111135849/111134500/111119116/111124615/111123381/111136425/111130565/111128580/111126281/111126107/111124874/111121650/111104388/111136530/111134444/111112733/111100581/111138157/111104145/111110009/111124699/111129627/111131610/111136875/111138013/111136522/111126802/111113059/111135336/111130503/111100592/111137215/111136667/111107584/111133148/111120158/111131690/111130987/111108692/111137383/111136635/111130461/111120474/111126280/111130355/111136408/111125986/111119040/111130423/111137079/111118356/111120024/111137181/111134317/111124698/111137165/111138305/111118729/111134659/111138303/111131106/111117989	177	rna-XR_002637566.1
GO:0005840	ribosome	65/2957	82/8638	5.810010128845643e-17	6.841286926715745e-15	5.947615631897252e-15	111137692/111128024/111133190/111120981/111118510/111108088/111120067/111126406/111126614/111137903/111114067/111101507/111121848/111120557/111114718/111131216/111111438/111136247/111136624/111132903/111128022/111129410/111126128/111137581/111122600/111119826/111120619/111137089/111121601/111101860/111127437/111120994/111132297/111123463/111125240/111135077/111118104/111121303/111124261/111100708/111114778/111135849/111118248/111128009/111126040/111130094/111136425/111122819/111128580/111126281/111124874/111118348/111104388/111118540/111119071/111119359/111104145/111136522/111134635/111128646/111136789/111119040/111131333/111126648/111137006	65	rna-XR_002637566.1
GO:0006412	translation	62/2957	82/8638	1.7281203938966495e-14	1.627889411050644e-12	1.4152396488964144e-12	111137692/111120952/111128024/111117002/111136579/111118962/111120981/111118510/111108088/111120067/111126406/111126614/111114067/111118126/111101507/111121848/111120557/111131216/111111438/111132903/111128022/111129410/111126128/111137581/111125548/111122600/111119826/111120619/111121601/111123203/111101860/111127437/111120994/111125240/111135077/111118104/111121303/111100708/111114778/111135849/111118248/111128009/111126040/111119576/111130094/111136425/111122819/111128580/111126281/111124874/111118348/111104388/111118540/111119071/111119359/111104145/111136522/111121432/111128646/111119040/111131333/111137006	62	rna-XR_002637566.1
GO:0000398	mRNA splicing, via spliceosome	41/2957	52/8638	4.948212033805181e-11	3.884346446537067e-9	3.3769376862284485e-9	111126234/111122502/111138363/111125980/111118194/111103914/111100835/111121238/111108192/111130416/111108450/111129301/111136320/111103801/111131787/111126498/111125937/111125533/111106010/111135499/111125036/111111061/111126390/111122436/111138463/111138391/111137745/111119055/111124615/111126107/111133954/111119918/111103496/111119018/111122650/111124816/111122783/111136408/111124636/111131012/111118582	41	rna-XR_002637566.1
GO:0022625	cytosolic large ribosomal subunit	20/2957	20/8638	4.681181980886854e-10	3.1497667328538694e-8	2.7383154745338146e-8	111120067/111135345/111126614/111137903/111101507/111114718/111136247/111120619/111137089/111121601/111127437/111120994/111132297/111123463/111118104/111124261/111135849/111134500/111124874/111119071	20	rna-XR_002637566.1
GO:0003743	translation initiation factor activity	28/2957	34/8638	1.0479121581921794e-8	6.169582831356456e-7	5.363655651799445e-7	111101262/111133022/111103926/111135733/111105429/111128159/111137076/111124673/111122210/111130699/111121263/111124589/111099053/111118049/111131638/111118029/111122026/111134216/111134482/111100612/111119023/111125652/111138196/111131036/111117966/111121019/111120521/111130987	28	rna-XR_002637566.1
GO:0006457	protein folding	39/2957	54/8638	1.2483128491175604e-8	6.532837243715233e-7	5.679458459727849e-7	111100598/111137483/111131153/111103788/111136560/111100668/111128545/111129841/111131740/111131136/111113194/111126790/111099081/111120649/111104669/111121539/111099544/111120828/111113446/111128939/111120591/111131116/111137300/111125459/111125446/111137548/111120186/111122969/111126088/111101057/111125815/111099063/111121532/111123621/111125951/111104099/111122516/111115433/111134667	39	rna-XR_002637566.1
GO:0003682	chromatin binding	43/2957	62/8638	1.6230476471489743e-8	7.322583213972163e-7	6.366040608414731e-7	111118300/111136050/111128754/111128966/111120233/111136917/111136284/111133682/111131498/111130888/111119382/111105716/111125229/111130564/111135789/111136084/111117840/111135445/111123912/111101447/111124549/111129838/111125248/111134735/111120511/111123344/111117921/111121771/111126926/111137179/111125807/111123852/111129195/111132030/111136415/111131379/111137485/111136471/111129021/111105869/111115365/111111493/111129339	43	rna-XR_002637566.1
GO:0042393	histone binding	26/2957	31/8638	1.710157438507299e-8	7.322583213972163e-7	6.366040608414731e-7	111119597/111134305/111112761/111128966/111120233/111136148/111132857/111108512/111127274/111124177/111125315/111136084/111126609/111135445/111101447/111121456/111122941/111127729/111138046/111120910/111117921/111136968/111100190/111134594/111130869/111122838	26	rna-XR_002637566.1
GO:0000785	chromatin	33/2957	45/8638	9.191942053923219e-8	3.6078372561648636e-6	3.136548648224678e-6	111118300/111136050/111127026/111128966/111129295/111118586/111132990/111108192/111130935/111119195/111127973/111127274/111125107/111138286/111136084/111123809/111124749/111119410/111117840/111121456/111128837/111135485/111134735/111104765/111131654/111129195/111136239/111136667/111118225/111119646/111119240/111137165/111138277	33	rna-XR_002637566.1
GO:0045271	respiratory chain complex I	20/2957	23/8638	2.558233934586053e-7	9.268678332231008e-6	8.057919032825706e-6	111136504/111133766/111121087/111138180/111121844/111136515/111109666/111104128/111102448/111121515/111118640/111108591/111130956/111114769/111136787/111133037/111121111/111119577/111120110/111129296	20	rna-XR_002637566.1
GO:0071013	catalytic step 2 spliceosome	24/2957	30/8638	3.501044221850167e-7	1.1778513060653063e-5	1.0239896257892597e-5	111126234/111138363/111102673/111108192/111120984/111134501/111108450/111136320/111120267/111135640/111123045/111135499/111125036/111111061/111130363/111136823/111133954/111099063/111126802/111103496/111119018/111136408/111129948/111134659	24	rna-XR_002637566.1
GO:0003924	GTPase activity	72/2957	131/8638	7.730716059661641e-7	2.427444842733755e-5	2.1103498576900903e-5	111100808/111120644/111134146/111135311/111113270/111134629/111103926/111136265/111135733/111100691/111108521/111105692/111125144/111138176/111120036/111131315/111124673/111112319/111134153/111133384/111116971/111129819/111125294/111119685/111132918/111105302/111102243/111131657/111101027/111135002/111125079/111131638/111115065/111120699/111131730/111108105/111126975/111119749/111131818/111129838/111123746/111133155/111127225/111121139/111119448/111137010/111137218/111125427/111108255/111130732/111120116/111121517/111125080/111100042/111112915/111119767/111129843/111133237/111105912/111125356/111125104/111104835/111104179/111114498/111133592/111118257/111114558/111120855/111124314/111124265/111130272/111118582	72	rna-XR_002637566.1
GO:0005839	proteasome core complex	12/2957	12/8638	2.5519446968791723e-06	7.512287201438063e-5	6.530963730828935e-5	111130431/111104018/111108182/111133428/111127912/111133546/111125779/111120999/111116995/111136644/111122651/111130411	12	rna-XR_002637566.1
GO:0006606	protein import into nucleus	23/2957	31/8638	6.260122071377256e-6	1.734422056246287e-4	1.5078560283379277e-4	111103812/111113217/111118796/111131148/111122996/111118745/111106364/111136185/111121980/111123666/111122065/111099524/111100852/111135682/111136615/111137248/111127431/111131105/111107093/111103867/111104027/111130920/111135764	23	rna-XR_002637566.1
GO:0005525	GTP binding	79/2957	156/8638	1.528133676661048e-5	3.9986164539297425e-4	3.476280703047647e-4	111100808/111120644/111134146/111135311/111113270/111134629/111103926/111136265/111135733/111100691/111108521/111105692/111125144/111134148/111131315/111124673/111112319/111134153/111133384/111116971/111129819/111125294/111134713/111119685/111132918/111105302/111102243/111131657/111101027/111135002/111125079/111124746/111131638/111115065/111138028/111120699/111131730/111108105/111126975/111119749/111101010/111131818/111130166/111112993/111129838/111123746/111133155/111125413/111127225/111119695/111136102/111119448/111137010/111137218/111125427/111108255/111130732/111120116/111121517/111125080/111100042/111112915/111119767/111129843/111133237/111105912/111125356/111125104/111104835/111104179/111114498/111133592/111118257/111114558/111120855/111124314/111124265/111130272/111118582	79	rna-XR_002637566.1
GO:0006413	translational initiation	16/2957	20/8638	3.5811051939913186e-5	8.877371296683742e-4	7.717728091205669e-4	111135733/111105429/111124673/111130699/111121263/111099053/111118049/111131638/111134482/111100612/111119023/111125652/111117966/111121019/111120521/111130987	16	rna-XR_002637566.1
GO:0046961	proton-transporting ATPase activity, rotational mechanism	11/2957	12/8638	6.160529631794051e-5	0.001450804728287499	0.001261287382509414	111114799/111123623/111125575/111118152/111122264/111125836/111134337/111135828/111130836/111137078/111101041	11	rna-XR_002637566.1
GO:0005681	spliceosomal complex	13/2957	16/8638	1.5598661612765895e-4	0.0034985569617203504	0.0030415435425393154	111136413/111103914/111100835/111130416/111103801/111126498/111127735/111133988/111126390/111138463/111100386/111129112/111128461	13	rna-XR_002637566.1
GO:0022627	cytosolic small ribosomal subunit	10/2957	11/8638	1.659388957208336e-4	0.0035526009038414834	0.0030885277720289132	111114067/111118126/111121848/111137591/111125240/111100708/111128580/111104388/111136522/111119040	10	rna-XR_002637566.1
GO:0006406	mRNA export from nucleus	14/2957	18/8638	1.9741946942355098e-4	0.004042807395586631	0.0035146990208586425	111124560/111118796/111128793/111125990/111122023/111133642/111121980/111131013/111135555/111137997/111099524/111138479/111136278/111121280	14	rna-XR_002637566.1
GO:0071011	precatalytic spliceosome	12/2957	15/8638	3.7435378604300777e-4	0.007346693051094027	0.00638700099871623	111126234/111118274/111131630/111133985/111129301/111136320/111131787/111100903/111134707/111126107/111136408/111134659	12	rna-XR_002637566.1
GO:0051082	unfolded protein binding	25/2957	41/8638	4.0618814698369706e-4	0.007642574472354513	0.006644231690123827	111100598/111137483/111131153/111136560/111100668/111129841/111131740/111113194/111099081/111120649/111112117/111104669/111099544/111137300/111125459/111120186/111126088/111101057/111125815/111121532/111123621/111136575/111107270/111122516/111130179	25	rna-XR_002637566.1
GO:0000381	regulation of alternative mRNA splicing, via spliceosome	9/2957	10/8638	4.43503334492499e-4	0.007642574472354513	0.006644231690123827	111118274/111120648/111103794/111135640/111122436/111135927/111118304/111129112/111134659	9	rna-XR_002637566.1
GO:0006120	mitochondrial electron transport, NADH to ubiquinone	9/2957	10/8638	4.43503334492499e-4	0.007642574472354513	0.006644231690123827	111136504/111133766/111138180/111121844/111102448/111118640/111114769/111133037/111130179	9	rna-XR_002637566.1
GO:0006397	mRNA processing	13/2957	17/8638	4.5433563742234895e-4	0.007642574472354513	0.006644231690123827	111118274/111135550/111124560/111125750/111122128/111100585/111118539/111110780/111118011/111120515/111131013/111133404/111121280	13	rna-XR_002637566.1
