ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	lnc_id
GO:0005525	GTP binding	72/2885	156/8638	5.715518674032873e-4	0.012873525394369282	0.01145968656447694	111119685/111134153/111108105/111119749/111100691/111135311/111133237/111113270/111105692/111135733/111100808/111131638/111130166/111130732/111108521/111119767/111131657/111121517/111134146/111120644/111132918/111131818/111125144/111115065/111103926/111124673/111134713/111129819/111135002/111118257/111133155/111124314/111134629/111119448/111102243/111105302/111134148/111132906/111136265/111133384/111125294/111119695/111118582/111129838/111105912/111120855/111101027/111120116/111100042/111131315/111112993/111125079/111116971/111125080/111108255/111120699/111125427/111126975/111138028/111101291/111137218/111112915/111102335/111133592/111112319/111136102/111125104/111124746/111121217/111131730/111125413/111101010	72	rna-XR_002638049.1
GO:0003712	transcription coregulator activity	19/2885	30/8638	7.425265399005533e-4	0.015964320607861897	0.014211034256469923	111133772/111122219/111133969/111137407/111136050/111137901/111135038/111129295/111123965/111119637/111134531/111125760/111125368/111100610/111118300/111128102/111104765/111108354/111135165	19	rna-XR_002638049.1
GO:0005762	mitochondrial large ribosomal subunit	18/2885	28/8638	7.907413960550314e-4	0.01626176871017521	0.014475815030755724	111136154/111120952/111124595/111136579/111126406/111137692/111121303/111111473/111136749/111136890/111120981/111133190/111119576/111134635/111126377/111135100/111131333/111109464	18	rna-XR_002638049.1
GO:0006406	mRNA export from nucleus	13/2885	18/8638	8.606177234407684e-4	0.01696134096614514	0.01509855655159243	111133642/111131013/111125990/111121980/111128793/111135555/111118796/111122023/111137997/111099524/111124560/111136278/111138479	13	rna-XR_002638049.1
GO:0006270	DNA replication initiation	10/2885	13/8638	0.0016635743299102358	0.03147482632190166	0.028018093977435553	111131693/111136042/111103623/111123110/111131721/111136471/111121771/111108624/111130057/111133500	10	rna-XR_002638049.1
GO:0071011	precatalytic spliceosome	11/2885	15/8638	0.0018246986384509662	0.03316274559199533	0.029520637001887465	111131787/111133985/111126107/111136320/111131630/111118274/111126234/111100903/111136408/111134707/111129301	11	rna-XR_002638049.1
GO:0006397	mRNA processing	12/2885	17/8638	0.0018930108477460336	0.03316274559199533	0.029520637001887465	111131013/111100585/111120515/111118011/111135550/111118274/111110780/111118539/111124560/111125750/111122128/111133404	12	rna-XR_002638049.1
GO:0008017	microtubule binding	44/2885	91/8638	0.00210882934199102	0.03562415281291973	0.0317117194284364	111127380/111131030/111119912/111136219/111120645/111121042/111133160/111115508/111126389/111132123/111123248/111136762/111120584/111099517/111133328/111112439/111134649/111130324/111107338/111111223/111112845/111118975/111125880/111130371/111105912/111107342/111130568/111100563/111115046/111129009/111122689/111099548/111119594/111130048/111116905/111134950/111121055/111130874/111136638/111131281/111112131/111101228/111100723/111129938	44	rna-XR_002638049.1
GO:0000278	mitotic cell cycle	16/2885	26/8638	0.0029942766330213052	0.04883768439376129	0.04347407089686106	111125291/111105116/111132658/111127729/111115508/111129021/111125042/111125562/111133736/111118975/111128222/111129487/111134522/111130048/111116905/111136780	16	rna-XR_002638049.1
GO:0003735	structural constituent of ribosome	87/2889	106/8638	4.5276600861596245e-25	2.118944920322704e-22	1.844425740361868e-22	111136890/111137692/111136579/111133190/111124595/111128024/111121303/111117002/111137581/111119453/111120952/111120981/111137006/111136749/111108088/111128022/111123203/111119576/111126406/111128646/111135100/111126648/111128321/111130939/111104145/111136789/111127769/111134635/111135345/111101507/111124261/111126614/111136624/111120067/111118510/111121848/111120619/111122600/111119826/111137903/111137591/111118126/111111438/111136425/111118248/111129410/111131216/111131333/111114067/111132297/111101860/111134500/111128009/111121601/111136247/111125796/111104388/111120557/111132903/111126040/111118348/111122819/111137089/111125240/111124874/111118104/111125548/111126128/111114718/111123463/111127437/111135849/111114778/111128580/111135077/111130094/111119359/111100708/111126281/111099983/111120994/111126471/111131668/111118540/111119071/111130538/111119040	87	rna-XR_002634986.1
GO:0005840	ribosome	69/2889	82/8638	2.3830711582220604e-21	5.576386510239621e-19	4.853939674904934e-19	111137692/111133190/111128024/111121303/111137581/111120981/111137006/111108088/111128022/111126406/111128646/111126648/111130939/111104145/111136789/111127769/111134635/111101507/111124261/111126614/111136624/111120067/111118510/111121848/111120619/111122600/111119826/111137903/111111438/111136425/111118248/111129410/111131216/111131333/111114067/111132297/111101860/111128009/111121601/111136247/111125796/111104388/111120557/111132903/111126040/111118348/111122819/111137089/111125240/111124874/111118104/111126128/111114718/111123463/111127437/111135849/111114778/111128580/111135077/111130094/111119359/111100708/111126281/111120994/111126471/111118540/111119071/111130538/111119040	69	rna-XR_002634986.1
GO:0006412	translation	67/2889	82/8638	2.242156043209603e-19	3.4977634274069806e-17	3.04461189025304e-17	111137692/111136579/111128024/111121303/111117002/111118962/111137581/111120952/111120981/111137006/111108088/111128022/111123203/111119576/111126406/111128646/111121432/111104145/111127769/111101507/111126614/111120067/111118510/111121848/111120619/111122600/111119826/111118126/111111438/111136425/111118248/111129410/111131216/111131333/111114067/111101860/111128009/111121601/111125796/111104388/111120557/111132903/111126040/111118348/111122819/111130240/111125240/111124874/111118104/111125548/111126128/111127437/111135849/111114778/111128580/111135077/111130094/111119359/111100708/111126281/111120994/111126471/111118540/111119071/111130538/111119040/111124731	67	rna-XR_002634986.1
GO:0003729	mRNA binding	59/2889	73/8638	8.856685421164378e-17	1.0362321942762322e-14	9.019834889448984e-15	111101129/111137692/111126731/111099053/111121303/111122023/111137076/111135555/111135552/111120794/111133022/111137332/111134475/111104062/111120648/111101262/111128793/111100585/111132362/111129197/111135433/111119682/111122645/111133033/111129820/111136440/111131007/111121745/111134216/111124560/111125077/111120873/111099571/111136118/111121140/111136733/111137796/111129301/111136418/111100788/111122904/111102803/111134728/111134449/111120525/111125240/111127437/111111998/111137997/111103496/111128721/111131864/111129112/111120541/111119018/111122551/111118428/111103429/111118304	59	rna-XR_002634986.1
GO:0003723	RNA binding	171/2889	309/8638	7.1483485558817295e-16	6.690854248305298e-14	5.824022928686798e-14	111116966/111118049/111120897/111101447/111136320/111102762/111124589/111137215/111121650/111121165/111125723/111125533/111135802/111136413/111120863/111103325/111118710/111134942/111135061/111108747/111126333/111123381/111120299/111138363/111110009/111138157/111108450/111136764/111108729/111129853/111118362/111128022/111107879/111107488/111135964/111136820/111129496/111100584/111118013/111135391/111136563/111125750/111120664/111120566/111132033/111122210/111134501/111122502/111134200/111099104/111134561/111119203/111136085/111100616/111130503/111107584/111111061/111120515/111124615/111136635/111105429/111118274/111134482/111130413/111126771/111122389/111105199/111105526/111135336/111123818/111104145/111130987/111119781/111133985/111134658/111119055/111137383/111136530/111135550/111131610/111126107/111122102/111117964/111137181/111108479/111120828/111128988/111124699/111135353/111103914/111136823/111131690/111135374/111126280/111134422/111118356/111136875/111137477/111119664/111112550/111113059/111133148/111120024/111125986/111124698/111119023/111135736/111119116/111130886/111100581/111137679/111135345/111118083/111108358/111119195/111121238/111135640/111131771/111136408/111129627/111134317/111136666/111122308/111115153/111136624/111118539/111126802/111136886/111130461/111118510/111120619/111137591/111130423/111136425/111131784/111124525/111132297/111134500/111130565/111118216/111125367/111120696/111121601/111136247/111108692/111134707/111104388/111137089/111137770/111124874/111125036/111125548/111112733/111135849/111128580/111126281/111138013/111138235/111120994/111122996/111126471/111114829/111120891/111136667/111135739/111137079/111119040/111137577/111100592/111133163/111120474	171	rna-XR_002634986.1
GO:0022625	cytosolic large ribosomal subunit	20/2889	20/8638	2.9350811436375385e-10	2.28936329203728e-8	1.9927656185749605e-8	111135345/111101507/111124261/111126614/111120067/111120619/111137903/111132297/111134500/111121601/111136247/111137089/111124874/111118104/111114718/111123463/111127437/111135849/111120994/111119071	20	rna-XR_002634986.1
GO:0003743	translation initiation factor activity	29/2889	34/8638	5.876757665073992e-10	3.929032267506612e-8	3.420007844185918e-8	111118049/111117966/111103926/111099053/111131638/111124589/111128159/111137076/111133022/111131036/111135733/111122210/111101262/111105429/111134482/111138196/111130987/111121263/111133033/111100612/111118029/111134216/111122026/111121019/111119023/111130699/111120521/111124673/111125652	29	rna-XR_002634986.1
GO:0006457	protein folding	40/2889	54/8638	1.0855929599261122e-9	6.350718815567757e-8	5.527953624886914e-8	111103788/111122969/111123621/111128939/111120649/111099081/111136560/111100668/111100598/111126088/111137483/111126790/111128545/111131153/111131136/111121539/111120186/111113446/111137300/111125459/111131740/111137548/111125446/111129841/111120828/111104099/111120591/111104669/111099544/111125951/111134667/111101057/111099063/111125815/111121532/111122516/111130072/111131116/111115433/111113194	40	rna-XR_002634986.1
GO:0000398	mRNA splicing, via spliceosome	38/2889	52/8638	5.4228318257482996e-9	2.8198725493891155e-7	2.454544931654493e-7	111136320/111125533/111118194/111138363/111125980/111108450/111130416/111100835/111131787/111126390/111126498/111122502/111111061/111124615/111126234/111138391/111125937/111119055/111126107/111103914/111135499/111122650/111106010/111124636/111121238/111136408/111129301/111108192/111122783/111138463/111125036/111124816/111103496/111103801/111137745/111119918/111119018/111135474	38	rna-XR_002634986.1
GO:0042393	histone binding	26/2889	31/8638	9.852305881800577e-9	4.6108791526826694e-7	4.0135182907966556e-7	111101447/111126609/111122941/111136084/111124177/111134305/111121456/111136968/111125315/111108512/111112761/111120910/111136148/111127274/111138046/111117921/111132857/111119597/111120233/111134594/111128966/111135445/111100190/111127729/111130869/111122838	26	rna-XR_002634986.1
GO:0003682	chromatin binding	42/2889	62/8638	3.2514441954580086e-8	1.3833417122494074e-6	1.2041233527677026e-6	111101447/111136917/111128754/111130564/111136084/111125248/111130888/111117840/111123344/111119382/111123912/111136284/111117921/111136050/111131498/111129838/111120233/111135789/111118300/111133682/111129195/111128966/111137179/111126926/111105716/111125229/111135445/111120511/111123852/111105869/111136415/111132030/111124549/111131379/111136471/111129339/111137485/111111493/111134735/111129021/111121771/111125807	42	rna-XR_002634986.1
GO:0003924	GTPase activity	70/2889	131/8638	1.6641698646542885e-6	6.490262472151726e-5	5.649418751063242e-5	111132918/111103926/111131638/111131818/111105692/111102243/111135002/111134153/111135733/111135311/111119749/111131657/111100691/111100808/111125079/111129819/111120644/111125294/111131315/111120036/111118257/111119685/111113270/111133237/111108105/111101027/111134146/111105302/111125144/111129838/111138176/111120116/111134629/111136265/111121139/111126975/111133384/111130732/111108255/111125427/111120699/111133155/111119448/111116971/111108521/111124673/111132906/111137218/111115065/111137010/111100042/111125080/111105912/111121517/111119767/111112319/111112915/111129843/111131730/111120855/111130272/111127225/111123746/111125104/111114558/111125356/111114498/111104179/111137305/111121217	70	rna-XR_002634986.1
GO:0005839	proteasome core complex	12/2889	12/8638	1.9292881941395373e-6	6.945437498902334e-5	6.045623733862356e-5	111108182/111125779/111104018/111130431/111133546/111120999/111127912/111133428/111136644/111116995/111130411/111122651	12	rna-XR_002634986.1
GO:0006413	translational initiation	17/2889	20/8638	2.920895840115065e-6	9.764137522670361e-5	8.4991480460491e-5	111118049/111117966/111099053/111131638/111135733/111105429/111134482/111130987/111121263/111133033/111100612/111121019/111119023/111130699/111120521/111124673/111125652	17	rna-XR_002634986.1
GO:0000785	chromatin	30/2889	45/8638	5.101560507461224e-6	1.591686878327902e-4	1.385476432552627e-4	111136084/111121456/111117840/111118586/111127973/111127274/111125107/111127026/111124749/111136050/111129295/111138286/111135485/111118300/111129195/111128966/111130935/111138277/111119195/111108192/111132990/111123809/111136239/111131654/111118225/111119410/111119646/111134735/111128837/111136667	30	rna-XR_002634986.1
GO:0071013	catalytic step 2 spliceosome	22/2889	30/8638	8.977124996324798e-6	2.6258090614250033e-4	2.28562327209059e-4	111136320/111123045/111138363/111108450/111120984/111102673/111134501/111111061/111130363/111126234/111120267/111136823/111135499/111135640/111136408/111108192/111126802/111129948/111099063/111125036/111103496/111119018	22	rna-XR_002634986.1
GO:0005525	GTP binding	78/2889	156/8638	1.2085141746199216e-5	3.3269684336595487e-4	2.8959441831449514e-4	111132918/111103926/111131638/111131818/111105692/111102243/111135002/111134153/111135733/111135311/111119749/111131657/111100691/111100808/111125079/111129819/111120644/111125294/111130166/111131315/111118257/111119685/111113270/111133237/111108105/111101027/111134146/111105302/111125144/111129838/111120116/111134629/111136265/111126975/111133384/111119695/111130732/111134148/111134713/111108255/111125427/111124746/111120699/111136102/111133155/111119448/111116971/111108521/111138028/111125413/111124673/111132906/111137218/111115065/111137010/111100042/111125080/111105912/111121517/111119767/111101010/111112319/111112915/111129843/111112993/111131730/111120855/111130272/111127225/111123746/111125104/111110500/111114558/111125356/111114498/111104179/111137305/111121217	78	rna-XR_002634986.1
GO:0045271	respiratory chain complex I	18/2889	23/8638	1.3454216053034826e-5	3.4980961737890546e-4	3.0449015277920924e-4	111121844/111136504/111136515/111121087/111138180/111118640/111104128/111119577/111121515/111109666/111108591/111121111/111114769/111130956/111133037/111133766/111136787/111102448	18	rna-XR_002634986.1
GO:0005730	nucleolus	55/2889	102/8638	1.4944795111236982e-5	3.6811390063467935e-4	3.2042303091682614e-4	111120897/111101447/111129891/111120087/111137217/111138243/111135552/111123045/111123381/111132803/111127822/111135565/111119930/111136820/111108512/111133926/111130503/111131585/111119682/111135336/111136011/111121519/111131272/111135726/111122134/111103620/111137181/111108479/111119695/111122535/111126280/111134594/111136875/111137537/111124334/111137679/111133059/111121751/111099067/111131654/111102803/111136629/111129970/111137560/111121130/111132132/111100708/111110500/111110332/111119391/111131668/111104419/111120892/111108699/111124837	55	rna-XR_002634986.1
GO:0006606	protein import into nucleus	22/2889	31/8638	2.1150030286814637e-5	4.949107087114624e-4	4.307927221577507e-4	111121980/111136615/111113217/111118796/111106364/111131148/111136185/111122065/111107093/111118745/111103812/111100852/111131105/111099524/111127431/111120993/111123666/111135682/111104027/111122996/111135764/111130920	22	rna-XR_002634986.1
GO:0005762	mitochondrial large ribosomal subunit	20/2889	28/8638	4.375455930738415e-5	9.751016074217038e-4	8.487726542334669e-4	111136890/111137692/111136579/111133190/111124595/111121303/111120952/111120981/111136749/111119576/111126406/111135100/111111473/111126377/111136154/111134635/111109464/111131333/111133665/111130538	20	rna-XR_002634986.1
GO:0046961	proton-transporting ATPase activity, rotational mechanism	11/2889	12/8638	4.817589484365254e-5	0.0010248326721286087	8.920608279661978e-4	111125836/111114799/111130836/111123623/111118152/111137078/111122264/111135828/111134337/111125575/111101041	11	rna-XR_002634986.1
GO:0005681	spliceosomal complex	13/2889	16/8638	1.1892219737960958e-4	0.0024198081901590125	0.0021063107728104763	111133988/111136413/111130416/111100835/111126390/111126498/111127735/111103914/111128461/111100386/111138463/111103801/111129112	13	rna-XR_002634986.1
GO:0022627	cytosolic small ribosomal subunit	10/2889	11/8638	1.3281409228591842e-4	0.002589874799575409	0.0022543444611688784	111133033/111121848/111137591/111118126/111114067/111104388/111125240/111128580/111100708/111119040	10	rna-XR_002634986.1
GO:0006406	mRNA export from nucleus	14/2889	18/8638	1.486308691717085e-4	0.002782369870894383	0.002421900899766366	111122023/111121980/111131013/111135555/111118796/111133642/111125990/111128793/111124560/111138479/111136278/111099524/111121280/111137997	14	rna-XR_002634986.1
GO:0051082	unfolded protein binding	25/2889	41/8638	2.7014858992930354e-4	0.004862674618727464	0.004232692481888279	111123621/111120649/111099081/111136560/111100668/111100598/111126088/111137483/111131153/111120186/111137300/111125459/111131740/111129841/111130179/111104669/111099544/111136575/111101057/111125815/111121532/111122516/111130072/111113194/111107270	25	rna-XR_002634986.1
GO:0006397	mRNA processing	13/2889	17/8638	3.500118679623341e-4	0.006066872378013791	0.005280880814870304	111131013/111122128/111125750/111118011/111120515/111118274/111100585/111110780/111135550/111124560/111133404/111118539/111121280	13	rna-XR_002634986.1
GO:0006120	mitochondrial electron transport, NADH to ubiquinone	9/2889	10/8638	3.632982240202716e-4	0.006072270315767397	0.005285579424655832	111121844/111136504/111138180/111118640/111130179/111114769/111133037/111133766/111102448	9	rna-XR_002634986.1
GO:0005739	mitochondrion	135/2889	320/8638	5.451604080174666e-4	0.008797761067316359	0.007657970159809786	111120825/111128042/111138406/111103813/111118962/111137581/111119453/111105879/111121650/111105692/111125723/111115725/111114675/111121920/111129161/111131091/111130026/111136015/111120704/111135733/111121538/111123203/111138224/111100756/111109896/111124057/111128646/111131212/111123896/111100562/111103250/111119686/111132172/111121087/111131633/111135916/111131030/111107699/111101916/111115771/111136134/111119427/111101152/111114229/111104128/111128795/111101895/111135360/111124193/111136154/111134378/111100599/111120828/111104085/111137596/111133413/111102659/111122042/111131327/111127513/111120839/111122846/111120233/111108359/111119577/111130095/111137662/111130179/111104439/111131868/111135094/111111357/111108305/111134852/111101925/111121515/111134559/111125202/111135317/111129097/111127947/111135445/111118028/111121171/111127800/111119683/111135467/111125847/111130956/111136020/111124673/111118429/111100768/111126391/111130025/111136621/111118461/111127953/111100042/111105912/111122314/111135903/111110359/111128659/111133507/111121118/111136048/111129316/111099203/111105866/111103014/111136090/111134249/111102390/111116974/111121504/111117954/111116418/111121196/111128123/111100475/111133041/111119746/111128617/111115710/111120770/111123103/111129960/111130538/111101039/111124731/111123976/111114668/111120090/111121564	135	rna-XR_002634986.1
GO:0006260	DNA replication	20/2889	33/8638	0.001231413296024029	0.019210047417974854	0.016721296335484186	111134654/111126776/111135402/111120888/111131693/111135545/111130346/111136042/111131721/111135726/111134622/111124297/111137518/111131379/111119248/111137485/111136250/111125562/111136551/111108624	20	rna-XR_002634986.1
GO:0005763	mitochondrial small ribosomal subunit	10/2889	13/8638	0.0016837948330347065	0.025419870382588472	0.0221266078229009	111128042/111108088/111126648/111128321/111130939/111104145/111136789/111136646/111125796/111099983	10	rna-XR_002634986.1
GO:0071011	precatalytic spliceosome	11/2889	15/8638	0.0018483022214642257	0.0270314199889143	0.023529373674561028	111136320/111131630/111131787/111118274/111126234/111133985/111126107/111136408/111129301/111100903/111134707	11	rna-XR_002634986.1
GO:0003712	transcription coregulator activity	18/2889	30/8638	0.0025231889381608654	0.03578340675937227	0.03114749981078963	111137407/111137901/111119637/111133772/111100610/111125368/111122219/111123965/111133969/111125760/111136050/111129295/111135038/111118300/111134531/111108354/111128102/111135165	18	rna-XR_002634986.1
GO:1902600	proton transmembrane transport	17/2889	28/8638	0.002777896728462839	0.03823693143884143	0.033283158944740515	111133136/111114799/111135252/111123623/111118152/111137078/111122264/111136967/111135828/111134337/111138187/111130549/111125575/111114597/111101041/111125072/111137015	17	rna-XR_002634986.1
GO:0031491	nucleosome binding	8/2889	10/8638	0.003469433905630123	0.0451026407731916	0.03925938366897245	111136643/111127274/111132857/111103396/111123809/111136239/111126382/111136204	8	rna-XR_002634986.1
GO:0042273	ribosomal large subunit biogenesis	8/2889	10/8638	0.003469433905630123	0.0451026407731916	0.03925938366897245	111120087/111135565/111122535/111126280/111134594/111121751/111111172/111131668	8	rna-XR_002634986.1
GO:0019843	rRNA binding	10/2889	14/8638	0.004125639442012686	0.04858938964917306	0.04229440799421946	111123842/111137006/111121958/111103620/111134635/111118126/111132903/111123463/111119391/111120892	10	rna-XR_002634986.1
GO:0005198	structural molecule activity	11/2889	16/8638	0.004129336846754401	0.04858938964917306	0.04229440799421946	111105293/111106364/111114496/111120518/111119586/111134885/111137900/111108609/111118678/111136250/111133246	11	rna-XR_002634986.1
GO:0017056	structural constituent of nuclear pore	11/2889	16/8638	0.004129336846754401	0.04858938964917306	0.04229440799421946	111121980/111136615/111118796/111125546/111099524/111136554/111127431/111120993/111123666/111122996/111130920	11	rna-XR_002634986.1
GO:0032040	small-subunit processome	18/2889	31/8638	0.004152939286254108	0.04858938964917306	0.04229440799421946	111123842/111137217/111138243/111127475/111123381/111137638/111119803/111120203/111136875/111137537/111133059/111121848/111136629/111132132/111104419/111108699/111133163/111124837	18	rna-XR_002634986.1
GO:0003735	structural constituent of ribosome	84/2924	106/8638	6.656180022668338e-22	3.108436070586114e-19	2.6484589984932967e-19	111120981/111136579/111128024/111133190/111120952/111117002/111119453/111137692/111136890/111124595/111121303/111136749/111104145/111119576/111137581/111126406/111128321/111128646/111135100/111108088/111128022/111123203/111126648/111137006/111136789/111134635/111130939/111127769/111131333/111135345/111125796/111126614/111101507/111118510/111120067/111124261/111136624/111119826/111121848/111120619/111137591/111130538/111137903/111114067/111126471/111131216/111118126/111136247/111122600/111132297/111118248/111129410/111111438/111101860/111121601/111136425/111120557/111128009/111134500/111118104/111118348/111104388/111123463/111132903/111122819/111126040/111125240/111127437/111135849/111119359/111126128/111114718/111137089/111135077/111124874/111125548/111128580/111130094/111114778/111100708/111126281/111120994/111119040/111108756	84	rna-XR_002638098.1
GO:0005840	ribosome	67/2924	82/8638	4.637022981973425e-19	1.0827448662907948e-16	9.225235195715552e-17	111120981/111128024/111133190/111137692/111121303/111104145/111137581/111126406/111128646/111108088/111128022/111126648/111137006/111136789/111134635/111130939/111127769/111131333/111125796/111126614/111101507/111118510/111120067/111124261/111136624/111119826/111121848/111120619/111130538/111137903/111114067/111126471/111131216/111136247/111122600/111132297/111118248/111129410/111111438/111101860/111121601/111136425/111120557/111128009/111118104/111118348/111104388/111123463/111132903/111122819/111126040/111125240/111127437/111135849/111119359/111126128/111114718/111137089/111135077/111124874/111128580/111130094/111114778/111100708/111126281/111120994/111119040	67	rna-XR_002638098.1
GO:0003723	RNA binding	177/2924	309/8638	7.706357296252296e-18	1.1996229524499407e-15	1.0221063361345151e-15	111116966/111120897/111118049/111120299/111102762/111136563/111108747/111111061/111135802/111121165/111104145/111120863/111125723/111137215/111123381/111118362/111126333/111136320/111118710/111135964/111118013/111134942/111100616/111124589/111136413/111122389/111120664/111136764/111125533/111110009/111101447/111103325/111138363/111135061/111108479/111134501/111108729/111100584/111136820/111130503/111125750/111129853/111099104/111135391/111121650/111132033/111120566/111108450/111107584/111134200/111128022/111134658/111107879/111119781/111122502/111129496/111135336/111136085/111136635/111119055/111133148/111122210/111126107/111135736/111138157/111107488/111120515/111105199/111131610/111124615/111130413/111105429/111119116/111128988/111130987/111131771/111126280/111118274/111134561/111120828/111133985/111137477/111119203/111122102/111105526/111135353/111135550/111103914/111124699/111124698/111136875/111125986/111131690/111123818/111118356/111136530/111126802/111126771/111136823/111119664/111120024/111112550/111137181/111115153/111130886/111134482/111134422/111117964/111108358/111121238/111118083/111135640/111113059/111136886/111119023/111135374/111100581/111119195/111136408/111118539/111137679/111137383/111122308/111129627/111124525/111130565/111130461/111120696/111136666/111135345/111134317/111130423/111118216/111125036/111118510/111137079/111134707/111136624/111120619/111137591/111131784/111135739/111126471/111122996/111136247/111137770/111132297/111125367/111121601/111136425/111134500/111104388/111136667/111135849/111108692/111137089/111114829/111124874/111138013/111125548/111129524/111120891/111138235/111128580/111100592/111112733/111133163/111138305/111126281/111108351/111137577/111136911/111120994/111119040/111138114/111138309/111127387	177	rna-XR_002638098.1
GO:0006412	translation	65/2924	82/8638	3.059111977485058e-17	3.571513233713805e-15	3.043011388129873e-15	111120981/111136579/111128024/111120952/111117002/111137692/111118962/111121303/111104145/111119576/111137581/111126406/111121432/111128646/111108088/111128022/111123203/111137006/111127769/111131333/111125796/111126614/111101507/111118510/111120067/111119826/111121848/111120619/111130538/111114067/111126471/111131216/111118126/111122600/111118248/111129410/111111438/111101860/111124731/111121601/111136425/111120557/111128009/111118104/111118348/111104388/111132903/111122819/111126040/111125240/111127437/111135849/111119359/111126128/111135077/111124874/111125548/111128580/111130094/111114778/111100708/111126281/111130240/111120994/111119040	65	rna-XR_002638098.1
GO:0003729	mRNA binding	59/2924	73/8638	1.6703431699550667e-16	1.5601005207380324e-14	1.3292415120905586e-14	111126731/111101129/111137692/111137076/111122023/111121303/111137332/111135555/111104062/111120794/111099053/111134475/111101262/111133022/111135552/111128793/111100585/111120648/111132362/111125077/111119682/111129197/111122645/111129820/111131007/111136440/111135433/111133033/111120873/111124560/111121745/111136418/111137796/111134216/111121140/111099571/111136118/111102803/111129301/111136733/111119018/111134449/111134728/111100788/111120525/111122904/111122551/111137997/111128721/111120541/111103496/111131864/111125240/111127437/111111998/111129112/111118428/111122436/111103429	59	rna-XR_002638098.1
GO:0000398	mRNA splicing, via spliceosome	41/2924	52/8638	3.310026184712595e-11	2.5763037137679695e-9	2.1950699961778262e-9	111111061/111136320/111125980/111118194/111100835/111131787/111130416/111125533/111138363/111125937/111126390/111108450/111126498/111126234/111122502/111119055/111126107/111124615/111103914/111138391/111106010/111135499/111122650/111124636/111121238/111122783/111136408/111129301/111119018/111108192/111125036/111137745/111138463/111103801/111135474/111119918/111103496/111124816/111122436/111118582/111131012	41	rna-XR_002638098.1
GO:0003743	translation initiation factor activity	29/2924	34/8638	8.109012834614022e-10	5.409869991092497e-8	4.609333611254286e-8	111103926/111131638/111137076/111118049/111128159/111117966/111124589/111099053/111135733/111101262/111131036/111133022/111122210/111121263/111118029/111105429/111130987/111122026/111100612/111133033/111138196/111121019/111134482/111124673/111134216/111130699/111119023/111125652/111120521	29	rna-XR_002638098.1
GO:0006457	protein folding	40/2924	54/8638	1.6243460165969605e-9	9.482119871884756e-8	8.07898413517962e-8	111103788/111099081/111122969/111123621/111120649/111128939/111128545/111100598/111136560/111120186/111137483/111100668/111131153/111126790/111131136/111126088/111120828/111137300/111131740/111125446/111125459/111121539/111129841/111137548/111134667/111113446/111104099/111104669/111099544/111125951/111120591/111125815/111099063/111122516/111101057/111130072/111115433/111113194/111131116/111121532	40	rna-XR_002638098.1
GO:0003682	chromatin binding	43/2924	62/8638	1.1094328679026029e-8	5.756723881227951e-7	4.904861100200981e-7	111136917/111128754/111130564/111101447/111130888/111136084/111136050/111129838/111117840/111125248/111120233/111123912/111119382/111136284/111131498/111123344/111117921/111133682/111120511/111118300/111128966/111129195/111135789/111126926/111105716/111135445/111125229/111136415/111137179/111123852/111105869/111132030/111124549/111121771/111134735/111131379/111136471/111129339/111111493/111137485/111129021/111125807/111136120	43	rna-XR_002638098.1
GO:0042393	histone binding	26/2924	31/8638	1.3110290204437708e-8	6.12250552547241e-7	5.216515470818372e-7	111126609/111122941/111136968/111134305/111112761/111124177/111101447/111136084/111108512/111121456/111136148/111120233/111138046/111125315/111119597/111134594/111127274/111132857/111117921/111120910/111128966/111135445/111100190/111127729/111130869/111122838	26	rna-XR_002638098.1
GO:0022625	cytosolic large ribosomal subunit	19/2924	20/8638	1.50759938465794e-8	6.400444660320527e-7	5.453326003834463e-7	111135345/111126614/111101507/111120067/111124261/111120619/111137903/111136247/111132297/111121601/111134500/111118104/111123463/111127437/111135849/111114718/111137089/111124874/111120994	19	rna-XR_002638098.1
GO:0003924	GTPase activity	72/2924	131/8638	4.7558662402848574e-7	1.8508246118441904e-5	1.5769451217786633e-5	111132918/111103926/111131638/111102243/111105692/111100808/111131818/111135002/111135311/111131657/111135733/111119749/111125079/111134153/111129819/111118257/111138176/111119685/111120036/111100691/111129838/111120644/111125294/111126975/111105302/111108105/111101027/111133155/111131315/111113270/111120116/111130732/111125144/111134146/111136265/111137218/111134629/111133237/111133384/111100042/111108255/111124673/111121139/111119448/111125080/111125427/111120699/111108521/111132906/111116971/111112319/111115065/111121217/111121517/111119767/111137010/111105912/111125104/111112915/111125356/111136391/111129843/111131730/111123746/111130272/111137305/111127225/111120855/111114558/111114498/111118582/111119655	72	rna-XR_002638098.1
GO:0005839	proteasome core complex	12/2924	12/8638	2.2298420372335386e-6	8.010278702985096e-5	6.824941620034637e-5	111104018/111136644/111108182/111125779/111130431/111133546/111116995/111120999/111133428/111127912/111130411/111122651	12	rna-XR_002638098.1
GO:0006413	translational initiation	17/2924	20/8638	3.5268701426768373e-6	1.1764631118786307e-4	1.0023736194976275e-4	111131638/111118049/111117966/111099053/111135733/111121263/111105429/111130987/111100612/111133033/111121019/111134482/111124673/111130699/111119023/111125652/111120521	17	rna-XR_002638098.1
