gene_id	S12M	S13M	S16F	S19F	S22F	S23M	S29F	S31M	S35F	S36F	S39F	S3F	S41F	S44F	S48M	S50F	S52F	S53F	S54F	S59M	S64M	S6M	S76F	S77F	S7M	S9M
LOC111133600	5.2242	26.0901	52.40248	4.718101	5.788178	33.0953	28.160610000000002	21.1485	10.030197	12.6455	18.13672	52.246840000000006	21.560769999999998	17.01148	52.993570000000005	11.603761	6.01098	10.6690724405	10.723970000000001	29.1697	26.40224	47.37234	2.726005	9.886844	20.85266	19.497390248000002
LOC111133601	18.9125	9.67774	0.202541	0.473484	0.502275	15.4677	2.08763	8.87573	0	0.431736	1.1505e-4	0.79015	0.60181	0.944923	16.0845	0	9.6039	0.502419	1.06993	5.87825	8.23726	11.7298	0.435053	0.461662	14.3552	16.2755
LOC111133602	5.39807	9.29233	0.817993	0.239109	0	5.8096	1.63825	8.95949	0.455745	0.144771	0.127033	0	0.404567	0	8.00055	0.281846	9.32669	0.379055	0.863301	0.793082	2.08403	10.8478	0.658823	0	8.27322	6.23371
LOC111133603	17.2401	17.1369	2.3629	7.9733	15.8895	13.1489	3.47823	10.8479	2.09	21.0262	10.65881	0.685653	7.1096900000000005	10.700430999999998	22.41101872	5.77711	5.92031	17.9423	8.27343	76.86197	20.82937	15.7456	10.6074	7.42044	16.51361	14.595
LOC111133604	29.8854	20.5272	36.7294	81.7054	50.0088	27.9244	53.2306	31.7096	77.022	58.5624	48.5334	8.81974	49.9816	56.3866	33.003	38.654	74.1714	52.0874	65.2152	31.354	31.6296	22.0262	17.97738	28.7582	24.5878	28.044
LOC111133605	20.86582	27.2153354	100.61310999999999	42.00819	93.98713000000001	32.4226	90.31220000000002	14.53906	0	73.9195	81.04015000000001	39.65231	42.4324	55.6974	26.846	35.36152	85.8287	103.26856	41.29108	67.01456	48.4733	30.66027	46.148343	60.55644	33.176320000000004	30.2501
LOC111133606	14.883982379999999	0	0	38.007355999999994	0	0	0	15.689845940000001	88.02376000000001	1.09037	0	40.78868	30.218900000000005	0	0	45.29686000000001	30.16211	0	29.05746	0	0	0	0	0	0	0
LOC111133607	29.9692	33.9312	149.693	303.392	176.279	37.7657	121.162	27.6405	212.989	191.121	202.999	264.858	141.596	104.146	15.2334	160.833	161.605	117.496	180.875	54.445	55.0896	28.7873	253.686	267.765	28.7373	22.3897
LOC111133609	6.65983	6.78625	1.78205	3.7924	5.56671	0	13.4625	16.5843	1.73162	1.33651	7.19854	4.48911	5.66382	6.59153	21.3268	0	7.69549	6.75266	5.56537	8.59657	6.8862	15.9929	3.36751	7.14041	9.5791	22.3897
LOC111133610	36.0004	26.054309999999997	19.8377	46.8344	51.93231	32.9538	21.3856	35.862501656869995	60.2382	41.637299999999996	54.58438	18.8269	22.84496	14.6645	27.85376	40.7275	34.026489999999995	35.58324	41.263867	17.96042	17.03957	32.8285	34.79433	26.539675000000003	25.185789999999997	33.8024608
LOC111133611	2.88441	3.807	5.56499	7.00762	3.38224	3.42641	13.107	3.47945	8.41066	9.48074	5.54378	9.14394	20.9522	4.38812	2.63818	0	6.15233	4.10466	1.5934	1.15191	4.22866	4.39897	0.453076	1.56242	2.84534	7.6278
LOC111133612	31.629	7.6834	0.904311	0	1.40927	36.1943	1.62616	12.2609	0	0.673631	0	0	0.671836	0.279244	27.1474	0.656935	4.44399	1.75413	1.03431	6.71509	13.4548	14.8536	0.637662	3.53242	28.8166	25.0342
LOC111133613	0	16.9035	0	0	0	28.2768	1.62616	27.5871	1.41216	0	1.18457	0.741902	0	0.558487	6.62131	0	0	0	0	2.51816	0	24.1372	0	0	0	16.2722
LOC111133614	2.40317	0	0	0	0	0	0	0	0	0	0.685236	0	0.126341	0	0	0	0	0	0	0	5.56091	0	0	0	0	11.3728
LOC111133615	19.8668	16.5796	8.50898	0.870571	1.0169	21.6263	4.05753	25.2992	3.36192	2.33591	2.31342	7.75134	9.03763	3.1847	21.8792	5.70701	15.7987	2.26592	5.33511	5.66092	17.9241	21.8153	1.93471	3.08487	24.7771	29.509
LOC111133616	19.8668	16.5796	8.50898	0.870571	1.0169	21.6263	4.05753	25.2992	3.36192	2.33591	2.31342	7.75134	9.03763	3.1847	21.8792	5.70701	15.7987	2.26592	5.33511	5.66092	17.9241	21.8153	1.93471	3.08487	24.7771	29.509
LOC111133617	47.7591	9.55888	0	68.0559	91.125	38.3915	0	64.8277	0	112.077	33.3656	116.641	97.9995	30.5238	46.7077	129.676	150.163	115.887	113.673	37.1339	71.006	44.4025	26.5947	81.7725	30.1195	10.8664
