lnc_id	mrna_id	r	p_value	FDR	cluster_label	component_id
rna-XR_002638603.1	LOC111120067	0.9982343261041722	6.007629747611134e-31	1.6756108418992623e-23	A	1
rna-XR_002638603.1	LOC111136666	0.9972591139186758	1.1703525291392222e-28	1.632137356209156e-21	A	1
rna-XR_002638603.1	LOC111101860	0.9971010990593951	2.2912714513396243e-28	2.060428685682592e-21	A	1
rna-XR_002638603.1	LOC111120879	0.9969832674647605	3.6936657233930195e-28	2.060428685682592e-21	A	1
rna-XR_002638603.1	LOC111120912	0.9969832674647605	3.6936657233930195e-28	2.060428685682592e-21	A	1
rna-XR_002638603.1	LOC111134500	0.9967252272423777	9.876889720467927e-28	4.194922046151636e-21	A	1
rna-XR_002638603.1	LOC111101507	0.9966652843644196	1.227494319823471e-27	4.194922046151636e-21	A	1
rna-XR_002638603.1	LOC111107343	0.9966379545727475	1.3536188749127766e-27	4.194922046151636e-21	A	1
rna-XR_002638603.1	LOC111137591	0.9966379545727475	1.3536188749127766e-27	4.194922046151636e-21	A	1
rna-XR_002638603.1	LOC111136425	0.9965690380638739	1.726203913258186e-27	4.8146209302171104e-21	A	1
rna-XR_002638603.1	LOC111128009	0.9962572058576569	4.8951270333477144e-27	1.137765401961448e-20	A	1
rna-XR_002638603.1	LOC111130625	0.9962572058576569	4.8951270333477144e-27	1.137765401961448e-20	A	1
rna-XR_002638603.1	LOC111118126	0.9961240393393465	7.44167838805254e-27	1.5966052289150832e-20	A	1
rna-XR_002638603.1	LOC111129410	0.9960976235098504	8.072540407893944e-27	1.6082449434423215e-20	A	1
rna-XR_002638603.1	LOC111118510	0.9960239213745777	1.0100828837890059e-26	1.8781737028836667e-20	A	1
rna-XR_002638603.1	LOC111136247	0.9957980992438982	1.9577090046420522e-26	3.062488434970123e-20	A	1
rna-XR_002638603.1	LOC111114067	0.9957960737767597	1.969043023630668e-26	3.062488434970123e-20	A	1
rna-XR_002638603.1	LOC111132903	0.9957947630357084	1.9764096229538378e-26	3.062488434970123e-20	A	1
rna-XR_002638603.1	LOC111125367	0.995766689773651	2.1403777006481195e-26	3.1420046206475237e-20	A	1
rna-XR_002638603.1	LOC111137903	0.9954873360969003	4.601591114933736e-26	6.417236319562026e-20	A	1
rna-XR_002638603.1	LOC111133751	0.995303405349577	7.425107552720404e-26	9.861737918752135e-20	A	1
rna-XR_002638603.1	LOC111101025	0.9952459053908062	8.589988865704783e-26	1.0890301984051868e-19	A	1
rna-XR_002638603.1	LOC111119059	0.995192314301787	9.824108875239583e-26	1.1416998075028323e-19	A	1
rna-XR_002638603.1	LOC111119826	0.995192314301787	9.824108875239583e-26	1.1416998075028323e-19	A	1
rna-XR_002638603.1	LOC111126128	0.9951274155985788	1.1535313524191494e-25	1.2869432516894566e-19	A	1
rna-XR_002638603.1	LOC111123867	0.9949152778967518	1.921564083725933e-25	2.061349002059685e-19	A	1
rna-XR_002638603.1	LOC111122600	0.9948949792683323	2.0154566958798077e-25	2.0819951325306722e-19	A	1
rna-XR_002638603.1	LOC111118248	0.9948425848219058	2.2775750530203737e-25	2.2687396886539784e-19	A	1
rna-XR_002638603.1	LOC111128580	0.994806607726152	2.475264396701085e-25	2.3806393065124385e-19	A	1
rna-XR_002638603.1	LOC111124874	0.9947001389639908	3.15606956684679e-25	2.7852323410551565e-19	A	1
rna-XR_002638603.1	LOC111120557	0.9946967999040354	3.179959330607596e-25	2.7852323410551565e-19	A	1
rna-XR_002638603.1	LOC111125240	0.9946946374748706	3.195519006724121e-25	2.7852323410551565e-19	A	1
rna-XR_002638603.1	LOC111126883	0.9946577418865343	3.471982195686109e-25	2.934496205245928e-19	A	1
rna-XR_002638603.1	LOC111136624	0.9944924906802052	5.000077682463478e-25	4.101737255032594e-19	A	1
rna-XR_002638603.1	LOC111127225	0.9943939877979222	6.182222272892331e-25	4.926591733077249e-19	A	1
rna-XR_002638603.1	LOC111127437	0.9942632558968384	8.146910146068284e-25	6.311904630829055e-19	A	1
rna-XR_002638603.1	LOC111100708	0.9939188806743666	1.6369983362212379e-24	1.201530069866166e-18	A	1
rna-XR_002638603.1	LOC111131216	0.9938629673637204	1.8265161556321725e-24	1.3062578505865658e-18	A	1
rna-XR_002638603.1	LOC111122819	0.9937951844833207	2.0831423638864968e-24	1.452542881631414e-18	A	1
rna-XR_002638603.1	LOC111126614	0.9933639994297547	4.654746974328173e-24	3.166519918654569e-18	A	1
rna-XR_002638603.1	LOC111111438	0.9933176150313373	5.059346591067965e-24	3.3598132934090767e-18	A	1
rna-XR_002638603.1	LOC111126040	0.9932557497672311	5.649159501701611e-24	3.664252426571402e-18	A	1
rna-XR_002638603.1	LOC111125548	0.993011659569264	8.644274890777369e-24	5.479562631889321e-18	A	1
rna-XR_002638603.1	LOC111119917	0.9927355215273735	1.3743029724047177e-23	8.332870964884672e-18	A	1
rna-XR_002638603.1	LOC111119359	0.9926492811297283	1.582691239165334e-23	9.316854068709897e-18	A	1
rna-XR_002638603.1	LOC111135345	0.9926360613878857	1.6170785253867398e-23	9.316854068709897e-18	A	1
rna-XR_002638603.1	LOC111137089	0.9925755479515277	1.783397781546511e-23	9.948285043254144e-18	A	1
rna-XR_002638603.1	LOC111121601	0.992549461728793	1.8598136792798736e-23	1.0171131383920212e-17	A	1
rna-XR_002638603.1	LOC111118348	0.9925264528033351	1.9296925505317837e-23	1.0350343886548303e-17	A	1
rna-XR_002638603.1	LOC111102811	0.9924855187208698	2.0599860290762937e-23	1.068573031121931e-17	A	1
rna-XR_002638603.1	LOC111126109	0.992438299278376	2.2202687971595777e-23	1.1058278700664411e-17	A	1
rna-XR_002638603.1	LOC111131116	0.9921462990856643	3.493156579187826e-23	1.5464913896766307e-17	A	1
rna-XR_002638603.1	LOC111135849	0.9921023903021674	3.7340197487511756e-23	1.6022609806142087e-17	A	1
rna-XR_002638603.1	LOC111135077	0.9920695911102181	3.923765094967928e-23	1.6581700499164632e-17	A	1
rna-XR_002638603.1	LOC111126281	0.9919006200653492	5.0489775559185643e-23	2.1018350988596405e-17	A	1
rna-XR_002638603.1	LOC111118104	0.9917955534806141	5.890350772014207e-23	2.4160295840520824e-17	A	1
rna-XR_002638603.1	LOC111114778	0.9915173328463744	8.776536044635142e-23	3.4477422803467e-17	A	1
rna-XR_002638603.1	LOC111115985	0.9915173328463744	8.776536044635142e-23	3.4477422803467e-17	A	1
rna-XR_002638603.1	LOC111136621	0.9914757620842235	9.304837182182461e-23	3.6045104123108364e-17	A	1
rna-XR_002638603.1	LOC111120619	0.9911159119558902	1.525456541973701e-22	5.672945078089925e-17	A	1
rna-XR_002638603.1	LOC111126579	0.9909975426349424	1.7869667241411315e-22	6.472852980568242e-17	A	1
rna-XR_002638603.1	LOC111127289	0.9907998728591465	2.316711580379627e-22	8.038840167108435e-17	A	1
rna-XR_002638603.1	LOC111119195	0.9907939578923648	2.3345781153022304e-22	8.038840167108435e-17	A	1
rna-XR_002638603.1	LOC111138187	0.9907695048286407	2.4097877203383495e-22	8.175728133389431e-17	A	1
rna-XR_002638603.1	LOC111128116	0.9904231196229413	3.742834985497274e-22	1.1999176190551606e-16	A	1
rna-XR_002638603.1	LOC111132297	0.9902259364330853	4.775042479042543e-22	1.479805825545751e-16	A	1
rna-XR_002638603.1	LOC111128139	0.9901741569602035	5.086259829664287e-22	1.5419870183467595e-16	A	1
