lnc_id	mrna_id	r	p_value	FDR	cluster_label	component_id
rna-XR_002634663.1	LOC111112351	0.9940569231760433	1.2436186549115676e-24	9.374659588980377e-19	C	2
rna-XR_002639932.1	LOC111132345	0.9922978738351741	2.766869194149458e-23	1.3538912299002863e-17	C	2
rna-XR_002639492.1	LOC111112351	0.9922707417518911	2.8857245973606955e-23	1.3641837511921043e-17	C	2
rna-XR_002639493.1	LOC111112351	0.9922707417518911	2.8857245973606955e-23	1.3641837511921043e-17	C	2
rna-XR_002634663.1	LOC111122679	0.9917002312942791	6.762863869928486e-23	2.7337044360064632e-17	C	2
rna-XR_002639932.1	LOC111112351	0.9914439835310005	9.728167524838566e-23	3.7168769471086557e-17	C	2
